From	Entry
Q9NPB1	Q9NPB1
Q5HSJ4	Q5HSJ4
P0C6E9	P0C6E9
Q96LA8	Q96LA8
F2WR39	F2WR39
P07617	P07617
P11362	P11362
Q9NXA8	Q9NXA8
A0A1S3THR8	A0A1S3THR8
P15917	P15917
P17752	P17752
Q1RBS0	Q1RBS0
P56740	P56740
A0A0H2US73	A0A0H2US73
A0A0H2ZE85	A0A0H2ZE85
O66496	O66496
P43912	P43912
Q00960	Q00960
O29280	O29280
O05892	O05892
Q50LF0	Q50LF0
P0AG80	P0AG80
O28527	O28527
Q9I6J1	Q9I6J1
E3NZ06	E3NZ06
P18891	P18891
P03952	P03952
Q9UM73	Q9UM73
P21645	P21645
Q8NBP7	Q8NBP7
Q9WYW0	Q9WYW0
Q3UKX1	Q3UKX1
Q6BB74	Q6BB74
P25116	P25116
P52333	P52333
O85361	O85361
Q9HZ64	Q9HZ64
P31153	P31153
P07711	P07711
P0A0K8	P0A0K8
Q8WWQ0	Q8WWQ0
P11473	P11473
Q8K419	Q8K419
Q206Z5	Q206Z5
P07097	P07097
P9WFK7	P9WFK7
P56221	P56221
Q9FUZ2	Q9FUZ2
P35439	P35439
Q988B9	Q988B9
P29218	P29218
P9WMC9	P9WMC9
G3XD33	G3XD33
B3Y653	B3Y653
Q8WS26	Q8WS26
P08473	P08473
P00509	P00509
P55055	P55055
B2ZB02	B2ZB02
P12724	P12724
A0QRS5	A0QRS5
O34667	O34667
P59641	P0C6X7
P00480	P00480
Q13370	Q13370
Q9HGR1	Q9HGR1
A0A1G4H5I1	A0A1G4H5I1
Q9HYN5	Q9HYN5
Q99720	Q99720
P69441	P69441
O38731	O38731
Q6YMS4	Q6YMS4
Q9P1W9	Q9P1W9
Q4DA54	Q4DA54
Q99YP5	Q99YP5
O88703	O88703
P60477	P60477
Q01468	Q01468
P32951	P32951
P60045	P60045
Q30W70	Q30W70
P53686	P53686
P28523	P28523
T2LG16	T2LG16
P14780	P14780
P95276	P95276
O95271	O95271
Q1R3F7	Q1R3F7
Q9UR30	Q9UR30
Q9HY79	Q9HY79
P0A0N3	P0A0N3
Q9UJ71	Q9UJ71
P06241	P06241
P02911	P02911
Q8BTI9	Q8BTI9
P14210	P14210
P22262	P22262
P43249	P43249
P02769	P02769
P54577	P54577
Q9Y5X3	Q9Y5X3
Q9WLZ8	Q9WLZ8
A4Q998	A4Q998
Q4VSJ8	Q4VSJ8
P31947	P31947
P40947	P40947
P58687	P58687
P13444	P13444
D0VWX8	D0VWX8
O67648	O67648
P25524	P25524
Q9RFR0	Q9RFR0
P46922	P46922
D0MI02	D0MI02
A6TF32	A6TF32
Q02853	Q02853
Q9NYL2	Q9NYL2
P45983	P45983
A0A0J9X1Y8	A0A0J9X1Y8
P42262	P42262
Q9Y6E0	Q9Y6E0
P04632	P04632
Q3SX13	Q3SX13
C7Q5P8	C7Q5P8
P55210	P55210
Q7SRY5	Q7SRY5
Q26998	Q26998
P46798	P46798
Q88E10	Q88E10
P9WFX1	P9WFX1
Q24451	Q24451
P49410	P49410
M5AAG8	M5AAG8
C4LSS0	C4LSS0
O25363	O25363
P25103	P25103
P25779	P25779
P10824	P10824
A8M6W6	A8M6W6
B1YAL1	B1YAL1
Q46845	Q46845
P28248	P28248
P06730	P06730
P15328	P15328
O15550	O15550
Q9Y2R2	Q9Y2R2
Q9VWX8	Q9VWX8
W8RJF9	W8RJF9
W7JP72	W7JP72
Q9UHI8	Q9UHI8
P05121	P05121
Q8IB67	Q8IB67
A0A0H3JZJ4	A0A0H3JZJ4
Q4QC75	Q4QC75
P84751	P84751
A0QT50	A0QT50
Q92831	Q92831
Q6XHB2	Q6XHB2
P00940	P00940
Q2G229	Q2G229
Q396C9	Q396C9
O15382	O15382
P14410	P14410
P11456	P11456
Q0PBL7	Q0PBL7
Q6VE93	Q6VE93
P00798	P00798
O60701	O60701
A0A0J9WZF0	A0A0J9WZF0
P10721	P10721
G0X8E8	G0X8E8
P12497	P12497
P0A6Y8	P0A6Y8
Q18A65	Q18A65
P00734	P00734
P37353	P37353
O05701	O05701
P62937	P62937
Q3U8K7	Q3U8K7
Q91VE3	Q91VE3
Q62261	Q62261
P07071	P07071
P06875	P06875
P0AFC0	P0AFC0
Q9I676	Q9I676
Q58597	Q58597
A8DG50	A8DG50
Q7WT50	Q7WT50
O00255	O00255
B8HDZ1	B8HDZ1
Q9QYJ6	Q9QYJ6
Q06151	Q06151
P03069	P03069
A4GK78	A4GK78
P27915	P27915
P9WPQ5	P9WPQ5
P25321	P25321
O85465	O85465
A0LNN5	A0LNN5
P50135	P50135
Q8SR66	Q8SR66
P03418	P03418
P22513	P22513
K9N638	K9N638
D9J2T9	D9J2T9
P00520	P00520
Q6MLN6	Q6MLN6
P17109	P17109
Q46604	Q46604
Q08638	Q08638
Q9N1E2	Q9N1E2
A2E7Y6	A2E7Y6
P04585	P04585
O75936	O75936
P96965	P96965
Q8CHT0	Q8CHT0
Q9XEI3	Q9XEI3
O23346	O23346
O67135	O67135
Q60187	Q60187
P9WNX3	P9WNX3
P0AEJ4	P0AEJ4
O70370	O70370
Q38C91	Q38C91
Q8NHV1	Q8NHV1
P9WMN1	P9WMN1
Q8NEB9	Q8NEB9
P03960	P03960
Q6DLV0	Q6YMS4
Q6Q783	Q6Q783
F6BL85	F6BL85
Q15059	Q15059
Q44238	Q44238
Q45222	Q45222
Q5SMG8	Q5SMG8
P34913	P34913
Q8RDL3	Q8RDL3
P53671	P53671
Q9KVG7	Q9KVG7
Q4QBL1	Q4QBL1
Q9SZU7	Q9SZU7
P55196	P55196
Q993Q5	Q993Q5
P12104	P12104
A2RI47	A2RI47
Q8VDG3	Q8VDG3
Q9R4E4	Q9R4E4
P47900	P47900
Q15119	Q15119
O04379	O04379
Q72I44	Q72I44
P07332	P07332
Q9BYW2	Q9BYW2
P18316	P18316
Q8N4J0	Q8N4J0
Q9BMI9	Q9BMI9
Q96GG9	Q96GG9
A0A0M3KKX3	A0A0M3KKX3
O33877	O33877
Q15562	Q15562
P28223	P28223
P9WPX7	P9WPX7
O57728	O57728
P90551	P90551
Q8KFZ1	Q8KFZ1
Q9KQU8	Q9KQU8
P09989	P09989
P0AF12	P0AF12
Q696P8	Q696P8
Q28175	Q28175
P30305	P30305
Q9UHD2	Q9UHD2
P0A1E3	P0A1E3
D1MEN9	D1MEN9
O32449	O32449
P06968	P06968
O60658	O60658
A5KE01	A5KE01
Q9F4L3	Q9F4L3
C4NV15	C4NV15
A6N4J4	A6N4J4
P56252	P56252
L0N7E5	L0N7E5
Q67PY4	Q67PY4
Q9HC16	Q9HC16
P32177	P32177
D8NA05	D8NA05
P43490	P43490
P24735	P24735
P33527	P33527
P22102	P22102
P9WGZ1	P9WGZ1
P14625	P14625
P78362	P78362
Q15109	Q15109
Q13153	Q13153
P41597	P41597
P39912	P39912
Q9UKM7	Q9UKM7
P56817	P56817
P0A9M5	P0A9M5
Q5F9J8	Q5F9J8
Q15370	Q15370
O43813	O43813
Q1Q357	Q1Q357
O60882	O60882
Q8PGN7	Q8PGN7
P82114	P82114
Q92830	Q92830
P00469	P00469
P9WHQ9	P9WHQ9
P41182	P41182
Q7M0R2	Q7M0R2
A0A0F6AY66	A0A0F6AY66
Q7KZI7	Q7KZI7
Q02083	Q02083
P41279	P41279
Q8GPH6	Q8GPH6
Q8RLA6	Q8RLA6
Q47066	Q47066
P80386	P80386
P18674	P18674
P51795	P51795
A2P1G9	A2P1G9
Q06187	Q06187
Q86X55	Q86X55
Q8IKG4	Q8IKG4
Q9NQV7	Q9NQV7
P30405	P30405
P20591	P20591
P11881	P11881
P06999	P06999
P16469	P16469
O60678	O60678
Q839Z1	Q839Z1
P0A6K3	P0A6K3
Q6PKX2	Q6PKX2
O25560	O25560
P20646	P20646
Q9Y2T3	Q9Y2T3
Q9Y2N7	Q9Y2N7
O15357	O15357
A1JJJ9	A1JJJ9
P05091	P05091
Q9I000	Q9I000
Q9HUL3	Q9HUL3
O38723	O38723
Q7CRA4	Q7CRA4
P01857	P01857
Q8KRS7	Q8KRS7
C6G099	C6G099
P51452	P51452
Q973T5	Q973T5
Q57696	Q57696
P9WFX5	P9WFX5
P35444	P35444
P04626	P04626
D7U7T8	D7U7T8
Q01853	Q01853
O14965	O14965
A6LE66	A6LE66
P41743	P41743
Q8VC28	Q8VC28
A0QP43	A0QP43
Q6N8V9	Q6N8V9
O15294	O15294
P29965	P29965
Q94M05	Q94M05
Q9UL51	Q9UL51
A0A0H2UP19	A0A0H2UP19
P05089	P05089
A0A0R4I981	A0A0R4I981
P55222	P55222
O38707	O38707
P0ABE7	P0ABE7
O09893	O09893
P04150	P04150
Q02RL6	Q02RL6
Q0P9X8	Q0P9X8
Q05127	Q05127
P21579	P21579
P56216	P56216
P08581	P08581
D0IR47	D0IR47
P26918	P26918
Q64823	Q64823
Q14790	Q14790
O15054	O15054
P01660	P01660
P63279	P63279
Q8Q3H0	Q8Q3H0
P07173	P07173
P50097	P50097
D9IEF7	D9IEF7
P0A0N4	P0A0N4
P01887	P01887
P10826	P10826
Q8IEE9	Q8IEE9
P26660	P26660
A3FQ16	A3FQ16
Q8H1R0	Q8H1R0
P35030	P35030
P19491	P19491
O97193	O97193
Q60049	Q60049
B5KVR9	B5KVR9
P14740	P14740
Q89GW5	Q89GW5
P07140	P07140
Q8XXK6	Q8XXK6
Q5F9M1	Q5F9M1
Q5RZ09	Q5RZ09
P68440	P68440
Q8PWY1	Q8PWY1
Q3KK31	Q3KK31
Q13464	Q13464
O76054	O76054
P48039	P48039
J9XXB7	J9XXB7
Q4W803	Q4W803
O05208	O05208
Q12866	Q12866
Q46389	Q46389
O52575	O52575
Q96KQ7	Q96KQ7
P02867	P02867
A0MK70	A0MK70
Q14145	Q14145
P00797	P00797
C0LMU0	C0LMU0
G3XD28	G3XD28
Q9WUL7	Q9WUL7
Q9RMI1	Q9RMI1
P08311	P08311
Q6P988	Q6P988
A8EVM5	A8EVM5
P06672	P06672
Q13490	Q13490
O95050	O95050
S4UY05	S4UY05
Q47030	Q47030
P62745	P62745
Q48255	Q48255
P11142	P11142
P02866	P02866
P00747	P00747
Q9NWZ3	Q9NWZ3
Q4JH30	Q4JH30
P9WNL5	P9WNL5
P08337	P08337
P44542	P44542
Q0A480	Q0A480
A0A0H2Y045	A0A0H2Y045
P54645	P54645
Q0ED31	Q0ED31
P0C6U6	P0C6U6
F2RCL8	F2RCL8
P15056	P15056
P56658	P56658
P16732	P16732
B8F653	B8F653
P02766	P02766
P0AD57	P0AD57
P03951	P03951
G8JZT0	G8JZT0
Q6INX3	Q6INX3
P81989	P81989
P14262	P14262
B3EY95	B3EY95
P04391	P04391
P35408	P35408
P13861	P13861
Q9Y337	Q9Y337
J7HJM3	J7HJM3
P13612	P13612
A0A0H2WXZ7	A0A0H2WXZ7
Q4ACU6	Q4ACU6
P9WK17	P9WK17
P96856	P96856
P74325	P74325
Q9WAF5	Q9WAF5
A0R5M8	A0R5M8
Q8I5R7	Q8I5R7
P00953	P00953
P0A6I6	P0A6I6
P50120	P50120
P9WID5	P9WID5
P04058	P04058
P9WMW9	P9WMW9
P0A993	P0A993
P11172	P11172
P08238	P08238
P13081	P13081
Q8JUX6	Q8JUX6
O15264	O15264
P01834	P01834
P07948	P07948
C7FH46	C7FH46
O43598	O43598
P0CJ63	P0CJ63
P9WFK1	P9WFK1
P41146	P41146
P96830	P96830
P29274	P29274
